E_PIZZA_ORDER_KEY,E_PIZZA_ID,E_ORDER_ID,ORDER_SIZE,SAUCE,CHEESE,MEAT,VEGGIES,BAKED,STARTTIMESTAMP,ENDTIMESTAMP,LATENCYMS
18_df93b2e3-8576-4f50-8ff4-916e33571ea9,18,df93b2e3-8576-4f50-8ff4-916e33571ea9,100,tomato,"['mozzarella', 'cheddar']","['pepperoni', 'sausage', 'ham']","['mushroom', 'onion', 'green pepper', 'black olive']",False,1764175832980,1764175884121,51141
18_f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,18,f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764173630744,1764173647454,16710
18_f5187049-c9f4-44c8-b5ff-53878610baea,18,f5187049-c9f4-44c8-b5ff-53878610baea,100,tomato,['mozzarella'],['pepperoni'],[],False,1764174734241,1764174820211,85970
18_fe0c1f3a-2994-49b4-b93d-c7007756f322,18,fe0c1f3a-2994-49b4-b93d-c7007756f322,100,tomato,['mozzarella'],['pepperoni'],[],False,1764177336689,1764177352169,15480
18_fe8e08a8-777e-4986-a7e2-482b8f9fb831,18,fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764175289587,1764175445592,156005
19_050b3fde-8b14-4304-9852-4553eb02f161,19,050b3fde-8b14-4304-9852-4553eb02f161,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172986634,1764173067256,80622
19_067646a4-55fb-4794-a053-f0b8058b5d4b,19,067646a4-55fb-4794-a053-f0b8058b5d4b,50,tomato,['mozzarella'],[],['basil'],True,1764172618431,1764172634625,16194
19_1c15c39d-92af-4ded-80f9-83ab37feb1d5,19,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764176721211,1764176762235,41024
19_367a96cd-8c2e-4297-a96c-8e35a863c6bc,19,367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764174146290,1764174164459,18169
19_482f7ff0-faed-45c3-90a7-7fb2fd0be63b,19,482f7ff0-faed-45c3-90a7-7fb2fd0be63b,50,tomato,['mozzarella'],[],['basil'],True,1764173480697,1764173519001,38304
19_66c49367-be59-420c-9602-7763eee79cfa,19,66c49367-be59-420c-9602-7763eee79cfa,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764171310492,1764171328911,18419
19_7075519a-7d8c-49b4-9f8c-fa9b83857e42,19,7075519a-7d8c-49b4-9f8c-fa9b83857e42,50,tomato,['mozzarella'],['pepperoni'],[],True,1764172138083,1764172154133,16050
19_9563c743-f1f0-4eb8-a12d-256f529be4b2,19,9563c743-f1f0-4eb8-a12d-256f529be4b2,50,Pesto,"['mozzarella', 'feta']",[],"['spinach', 'sun-dried tomato', 'artichoke heart']",True,1764171152938,1764171171916,18978
19_9caddd73-34e8-406b-b20b-2ab365bdfc6e,19,9caddd73-34e8-406b-b20b-2ab365bdfc6e,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764171644092,1764171663253,19161
